metric,test_used,n_paired,mean_ap1,mean_ap2,delta_ap2_minus_ap1,pct_change,p_value,effect_size_d,effect_magnitude,direction,improved,normality_p,p_value_fdr,significant_raw,significant_fdr
bugs,wilcoxon,60,4.2,0.2,-4.0,-95.23809523809523,4.074290517710511e-06,-0.5660693309486016,mediano,lower_better,Yes,1.165154804315561e-09,1.2222871553131534e-05,True,True
duplicated_lines_density,wilcoxon,60,1.6233333333333335,6.734999999999999,5.111666666666666,314.8870636550308,2.016244303651829e-06,0.6022667169637059,mediano,lower_better,No,6.812970423101282e-07,1.2222871553131534e-05,True,True
cognitive_complexity,wilcoxon,60,139.03333333333333,413.93333333333334,274.9,197.722368736514,3.6405486236325104e-06,0.7030043520770188,mediano,lower_better,No,0.0032371254379723884,1.2222871553131534e-05,True,True
security_rating,wilcoxon,60,2.933333333333333,1.2333333333333334,-1.6999999999999997,-57.954545454545446,3.161457000422981e-06,-0.7506551445686731,mediano,lower_better,Yes,9.985409398204703e-09,1.2222871553131534e-05,True,True
reliability_rating,wilcoxon,60,2.2666666666666666,1.1666666666666667,-1.0999999999999999,-48.52941176470588,6.680982407944452e-06,-0.7427652082317167,mediano,lower_better,Yes,1.0767964660622586e-05,1.3361964815888904e-05,True,True
vulnerabilities,wilcoxon,60,0.55,0.08333333333333333,-0.46666666666666673,-84.84848484848484,5.7016412756812285e-06,-0.7178647283931318,mediano,lower_better,Yes,1.5708884736617225e-07,1.3361964815888904e-05,True,True
ncloc,paired_t,60,3499.766666666667,6134.283333333334,2634.516666666667,75.276923223453,7.227797543778854e-05,0.5511212352510834,mediano,neutral,Neutral,0.11250443835004181,0.00012390510075049462,True,True
comment_lines_density,wilcoxon,60,3.4433333333333334,2.598333333333333,-0.8450000000000002,-24.540174249757992,0.0048256579679736775,-0.23111597241807644,pequeño,higher_better,No,6.892241578298797e-05,0.007238486951960516,True,True
complexity,paired_t,60,456.78333333333336,371.06666666666666,-85.7166666666667,-18.76527894333565,0.11469916307880133,-0.2066993630792521,pequeño,lower_better,Yes,0.16487191830377973,0.15293221743840177,False,False
code_smells,wilcoxon,60,56.85,67.05,10.199999999999996,17.941952506596298,0.21292835108139851,0.1447102530880075,trivial,lower_better,No,1.1788264418890486e-05,0.2555140212976782,False,False
open_issues,wilcoxon,60,61.6,67.33333333333333,5.733333333333327,9.307359307359297,0.45485186506842656,0.07840218995580318,trivial,lower_better,No,9.823589323117818e-06,0.4962020346201017,False,False
security_hotspots,wilcoxon,60,1.5333333333333334,1.45,-0.08333333333333348,-5.434782608695662,0.6478440566154622,-0.04233723380077023,trivial,lower_better,Yes,5.905223011750591e-07,0.6478440566154622,False,False
technical_debt,Insuficiente,0,,,,,,,lower_better,NA,,,,,
coverage,Insuficiente,0,,,,,,,higher_better,NA,,,,,
sqale_rating,paired_t,60,1.0,1.0,0.0,0.0,,0.0,trivial,lower_better,No,1.0,,,
